control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems
17,8,4,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,814433792,1096810496,1185562624,2.700660403144664,True,1.9946636520326138,0.9674424510449171,2.9622384179383516,9.940458948892707e-06,0,0.000988245257323328,True,bicgstab,0,28,9.935091838997323e-06,bicgstab|stationary_fallback,1,465,9.93732192000607e-06,BiCGStab breakdown: nonfinite dot-product scale,64,64
25,1,1,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,14098432,25165824,1110753280,2.124181226998775,True,0.24222921207547188,0.2284734956920147,0.47076962515711784,9.750890423910572e-06,0,0.0006063110897369656,True,bicgstab,0,34,9.73944133875193e-06,bicgstab,0,59,9.685477380116936e-06,,2,2
25,1,1,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,55936000,65011712,1110040576,2.444987418835762,True,0.24088159762322903,0.16803845018148422,0.4090000595897436,9.750890423910572e-06,0,0.0006063110897369656,True,bicgstab,0,34,9.73944133875193e-06,bicgstab,0,44,9.613632755645085e-06,,2,2
25,1,2,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,18697728,31457280,1140207616,0.8615122273494026,True,0.5199474785476923,0.6407284904271364,1.1607496310025454,9.750890423910572e-06,0,0.0005401891056173731,True,bicgstab,0,39,9.73944133875193e-06,bicgstab,0,61,9.437495464226231e-06,,4,4
25,1,2,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,74993152,92274688,1209180160,0.7461686116461432,True,0.5204222314059734,0.8196817487478256,1.3401796650141478,9.750890423910572e-06,0,0.0005401891056173731,True,bicgstab,0,39,9.73944133875193e-06,bicgstab|stationary_fallback,1,1039,9.958006558008492e-06,BiCGStab breakdown: nonfinite dot-product scale,4,4
25,1,4,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,28024320,35651584,1163571200,0.5562473207259877,True,0.9946740418672562,0.8030084613710642,1.7977614682167768,9.750890423910572e-06,0,0.0004805538051142473,True,bicgstab,0,39,9.73944133875193e-06,bicgstab,0,73,9.58300461206818e-06,,8,8
25,1,4,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,112500224,134217728,1193377792,0.4729365194633233,True,1.063571009784937,1.050792582333088,2.114448681473732,9.750890423910572e-06,0,0.0004805538051142473,True,bicgstab,0,39,9.73944133875193e-06,bicgstab,0,58,9.756860890774988e-06,,8,8
25,4,1,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,20517888,23068672,1093292032,4.195084654454341,True,0.6385492216795683,0.31485779397189617,0.9534968491643667,9.058666380962926e-06,0,0.0005049789930799964,True,bicgstab,0,45,9.05044907995034e-06,bicgstab,0,59,9.546800356474705e-06,,8,8
25,4,1,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,81229824,102760448,1104023552,3.8098960072849812,True,0.645089028403163,0.4047154374420643,1.0498974230140448,9.058666380962926e-06,0,0.0005049789930799964,True,bicgstab,0,45,9.05044907995034e-06,stationary_fallback,1,1135,9.904327271215152e-06,BiCGStab breakdown in alpha denominator,8,8
25,4,2,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,67091968,92274688,1135341568,1.8613962555690984,True,1.343493903055787,0.8053293246775866,2.1489244904369116,9.6564365403887e-06,0,0.0005049789930799964,True,bicgstab,0,45,9.651618711359333e-06,bicgstab|stationary_fallback,1,1131,9.976563887903467e-06,BiCGStab breakdown in shadow residual,16,16
