kind,name,control,seed,strength,resolution,status,eligible_ground_truth,continuous_determinant_lower_bound,independent_minimum_signed_area,independent_minimum_area_ratio,flip_count,global_injectivity_certificate,mu_p95,mu_max,supported_probability_min,supported_probability_max,unit_square_sampling_compatible,image_min,image_max,identity_max_error,positive_x_shift_max_error,pair_bilinear_oracle_max_error,sampling_tolerance,error
positive_tutte,directed_random,17,1702,3.0,,ok,True,,1.7294480262069505e-10,8.854773894179587e-08,0,True,0.9994691497558053,0.9999912228718336,5.284199887819855e-09,0.9998112711479437,True,,,,,,,
positive_tutte,directed_random,17,1703,3.0,,ok,True,,7.631257472874264e-12,3.907203826111623e-09,0,True,0.99964661047181,0.9999998804135021,3.055548495141363e-08,0.9999959237920281,True,,,,,,,
analytic,affine_anisotropic,25,,,,ok,True,0.9429999999999998,0.0008185763888888855,0.9429999999999973,0,True,0.16751269035533084,0.16751269035533173,,,False,,,,,,,
analytic,shear,25,,,,ok,True,1.0,0.0008680555555555516,0.9999999999999972,0,True,0.12403473458920945,0.12403473458920959,,,False,,,,,,,
analytic,rotation_stretch,25,,,,ok,True,0.9774999999999999,0.0008485243055555479,0.9774999999999924,0,True,0.1500000000000017,0.15000000000000327,,,False,,,,,,,
analytic,twist,25,,,,ok,True,1.0,0.0008438601835572125,0.9721269314579088,0,True,0.21174796458086595,0.27718443329231013,,,False,,,,,,,
analytic,sinusoidal_shear,25,,,,ok,True,1.0,0.0008680555555555523,0.9999999999999947,0,True,0.24113446925141294,0.2411344692514137,,,False,,,,,,,
analytic,local_compression,25,,,,ok,True,0.5625,0.0004929680418599374,0.5678991842226481,0,True,0.09535221118650959,0.09926140088709512,,,True,,,,,,,
analytic,local_expansion,25,,,,ok,True,0.888434919925785,0.0007996733390478597,0.9212236865831329,0,True,0.0938117710738997,0.09699165892919007,,,False,,,,,,,
analytic,boundary_sliding,25,,,,ok,True,0.6230088815692248,0.0005445317491774034,0.6273005750523697,0,True,0.22902924675463565,0.22902924675463596,,,True,,,,,,,
positive_tutte,directed_random,25,1701,0.25,,ok,True,,0.0003270908843485197,0.37680869876949435,0,True,0.273031905784036,0.38935982542431474,0.07041499043149775,0.34413772254765224,True,,,,,,,
positive_tutte,directed_random,25,1702,0.25,,ok,True,,0.00030790970042352336,0.35471197488789924,0,True,0.31305711985928575,0.4902523998139027,0.07486354470222474,0.39942732349872506,True,,,,,,,
positive_tutte,directed_random,25,1703,0.25,,ok,True,,0.0004095536000979917,0.4718057473128862,0,True,0.2743455836070822,0.4412463694351732,0.074004186399279,0.4012326095602533,True,,,,,,,
positive_tutte,directed_random,25,1701,1.0,,ok,True,,3.8229285890354955e-06,0.004404013734568887,0,True,0.8249598106301216,0.9648139970097608,0.0021261422730065095,0.8929680341175202,True,,,,,,,
positive_tutte,directed_random,25,1702,1.0,,ok,True,,5.258301471319738e-06,0.006057563294960344,0,True,0.8625901424874726,0.9766425630264493,0.0016147754987457306,0.9270199899004091,True,,,,,,,
positive_tutte,directed_random,25,1703,1.0,,ok,True,,6.117806840361817e-06,0.00704771348009681,0,True,0.8532544894918663,0.9795149547963129,0.0027440025927293545,0.95941241126104,True,,,,,,,
positive_tutte,directed_random,25,1701,3.0,,ok,True,,7.21779484014261e-13,8.314899655844294e-10,0,True,0.999533053840197,0.9999952384999051,1.99716523978497e-08,0.9998797427154816,True,,,,,,,
positive_tutte,directed_random,25,1702,3.0,,ok,True,,4.045326473710315e-12,4.660216097714287e-09,0,True,0.9995407331713742,0.9999991330514617,5.284199887819855e-09,0.9998112711479437,True,,,,,,,
positive_tutte,directed_random,25,1703,3.0,,ok,True,,1.0075134434008403e-11,1.1606554867977692e-08,0,True,0.9997539560873805,0.9999997072166381,3.055548495141363e-08,0.9999959237920281,True,,,,,,,
analytic,affine_anisotropic,33,,,,ok,True,0.9429999999999998,0.0004604492187499976,0.9429999999999951,0,True,0.16751269035533173,0.1675126903553343,,,False,,,,,,,
