control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems,run_index,git_dirty,physical_gpu
17,8,2,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,131643904,171966464,1128751104,8.58042876399381,True,0.8700740337371826,0.062210438773036,0.9323543403297663,8.892626204239357e-06,0,0.000988245257323328,True,unspecified,0,35,8.88795966602629e-06,unspecified,0,35,9.852727089310065e-06,,32,32,33,False,6
17,8,2,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,524597760,744488960,1155235840,8.42716253193242,True,0.8701157160103321,0.07908997125923634,0.949311226606369,8.899229214994145e-06,0,0.000988245257323328,True,unspecified,0,35,8.884720955393277e-06,unspecified,0,35,9.830858289205935e-06,,32,32,34,False,6
17,8,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,204305920,251658240,1136996352,4.362296086179598,True,1.6839053332805634,0.14992838352918625,1.8338966090232134,8.88126846889661e-06,0,0.000988245257323328,True,unspecified,0,35,8.868161785358097e-06,unspecified,0,35,9.8172977232025e-06,,64,64,35,False,6
17,8,4,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,814315008,1096810496,1181847552,4.178543488822638,True,1.7253999132663012,0.1890371460467577,1.9145427159965038,8.88271898153745e-06,0,0.000988245257323328,True,unspecified,0,35,8.875535968400072e-06,unspecified,0,35,9.899800716084428e-06,,64,64,36,False,6
25,1,1,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,14071808,25165824,1103220736,4.864477387059476,True,0.16097425296902657,0.04453453607857227,0.20557192899286747,9.850904839557832e-06,0,0.0006598745378436654,True,unspecified,0,60,9.842098734225146e-06,unspecified,0,59,5.838312972628046e-06,,2,2,37,False,6
25,1,1,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,55909376,65011712,1115725824,4.813266018908867,True,0.16020543687045574,0.04749296419322491,0.20775913819670677,9.830538307870009e-06,0,0.0006598744725226945,True,unspecified,0,60,9.838152436714154e-06,unspecified,0,59,5.86657051826478e-06,,2,2,38,False,6
25,1,2,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,18644480,31457280,1147043840,2.0876225331963676,True,0.38639039173722267,0.09254730679094791,0.47901379875838757,9.847929215882602e-06,0,0.0005389019694815875,True,unspecified,0,60,9.856729775492568e-06,unspecified,0,59,6.295748789852951e-06,,4,4,39,False,6
25,1,2,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,74939904,92274688,1159081984,2.3764602089732154,True,0.32908876799046993,0.09163814410567284,0.42079391703009605,9.88839909242283e-06,0,0.0005389019149706362,True,unspecified,0,60,9.889963621390052e-06,unspecified,0,59,6.4225541791529395e-06,,4,4,40,False,6
25,1,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,27917824,33554432,1162051584,1.2014572512391708,True,0.6510958448052406,0.18116014637053013,0.8323225807398558,9.829440516350306e-06,0,0.0005102499514890731,True,unspecified,0,60,9.83251266006846e-06,unspecified,0,59,6.283801212703111e-06,,8,8,41,False,6
25,1,4,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,112393728,134217728,1187995648,1.0375347697820991,True,0.7762427162379026,0.1875079870223999,0.9638231210410595,9.901221449974056e-06,0,0.0005102475855989227,True,unspecified,0,60,9.891861736832652e-06,unspecified,0,59,6.276189651543973e-06,,8,8,42,False,6
25,4,1,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,20471808,23068672,1102569472,6.436795749048371,True,0.5461040697991848,0.07522101327776909,0.6214272063225508,9.45750770710942e-06,0,0.000531417889853004,True,unspecified,0,60,9.458203749090899e-06,unspecified,0,59,6.676732482446823e-06,,8,8,43,False,6
25,4,1,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,81183744,102760448,1111666688,6.9489647285564695,True,0.5230906549841166,0.05244826897978783,0.5756253134459257,9.446977393210771e-06,0,0.000531417889853004,True,unspecified,0,60,9.449236131331418e-06,unspecified,0,59,6.857401331217261e-06,,8,8,44,False,6
